"REQID","REQID_expanded","annotation_id","annotator","created_at","id","lead_time","sentiment","text","updated_at"
"34111",19673,521,"7","2026-05-28T10:40:48.011501Z",411,6.31,"system_related_auxiliary","MTCM_FEAS_TOT_SEGMENTS 0 Sets the total number of segments to zero initially MTCM_FEAS_UNFEAS_REASON NOTHING Blanks the feasibility reason field MTCM_FEAS_REM_DIST_VAL FALSE Blanks the remaining distance field MTCM_FEAS_PNR_VAL FALSE Blanks the PNR time-to-go field and the PNR distance-to-go field MTCM_FEAS_FUEL_MARGIN_VAL FALSE Blanks the fuel margin field MTCM_FEAS_REM_FUEL_VAL FALSE Blanks the remaining fuel field MTCM_FEAS_REM_EET_VAL FALSE Blanks the remaining EET field MTCM_FEAS_UNFEAS_POINT_VAL FALSE Blanks the unfeasibility point field MTCM_FEAS_CUR_PAGE_NR 1 Sets the current page number to 1   MTCM_FEAS_TOT_PAGE_NR 1 Sets the total number of pages to 1  TMS-SRS-FEAS-47979 Req.","2026-05-28T10:40:48.011501Z"
"38180-wikipedia",38180,522,"7","2026-05-28T10:40:54.878887Z",412,5.263,"contextual_auxiliary","The soils are shallow and often are above large sheets of laterite (ironstone) and a thick profile of strongly leached rocks.","2026-05-28T10:40:54.878887Z"
"23465",11965,523,"7","2026-05-28T10:41:00.626214Z",413,4.193,"system_related_auxiliary","Since command line of wcc386 differs from gcc very much, we may follow the “Watcom style”.perhaps the best option is -elf.","2026-05-28T10:41:00.626214Z"
"8663-wikipedia",8663,524,"7","2026-05-28T10:41:05.786751Z",414,3.822,"contextual_auxiliary","Marshall is a city in Lyon County, Minnesota, United States.","2026-05-28T10:41:05.786751Z"
"37194",24402,525,"7","2026-05-28T10:41:12.177909Z",415,4.783,"system_related_auxiliary","Front wiper service position function is enabled if cod_Wipe_FrontServicePosition is TRUE.","2026-05-28T10:41:12.177909Z"
"19289",7363,526,"7","2026-05-28T10:41:23.138374Z",416,9.44,"requirement","It should be possible to group both analogue and binary values so they can be read in a single transaction.","2026-05-28T10:41:23.138374Z"
"25381",13980,527,"7","2026-05-28T10:41:35.823374Z",417,11.361,"requirement","MTRB will assist in the following: • Identifying and prioritizing transportation research needs • Interacting with other organizations that conduct and support research • Advocating the value of research to improve Michigan’s transportation system • Promoting an exchange of information, ideas, and knowledge • Helping to set the direction for annual research programs • Evaluating annual progress Stakeholders in DUAP-enhanced transportation system operations are almost entirely the same as those involved in the current state of operations as noted above.","2026-05-28T10:41:35.823374Z"
"19192",7263,528,"7","2026-05-28T10:41:43.006415Z",418,5.645,"requirement","To describe the newly defined specification, the simulation environment should provide an abstract high level scripting language thus providing an interpreter.","2026-05-28T10:41:43.006415Z"
"45984-wikipedia",45984,529,"7","2026-05-28T10:41:49.439793Z",419,4.566,"contextual_auxiliary","In 2001 there were 883 people living in Knodishall.","2026-05-28T10:41:49.439793Z"
"24913",13430,530,"7","2026-05-28T10:42:15.534672Z",420,24.705,"contextual_auxiliary","Closed User Groups (CUGs) may be employed by railways as an additional security measure.to prevent members of the public calling drivers and drivers calling members of the public).","2026-05-28T10:42:15.534672Z"
"13480-wikipedia",13480,531,"7","2026-05-28T10:42:31.048159Z",421,13.831,"contextual_auxiliary","Caroline asked him to remarry on her deathbed, to which he replied ""No, I shall only have mistresses"" or in French, ""Non, j'aurai seulement des maîtresses!in tears.","2026-05-28T10:42:31.048159Z"
"6944-wikipedia",6944,532,"7","2026-05-28T10:42:39.128256Z",422,6.534,"contextual_auxiliary","Later, other scientists disagreed about whether any species should be called Hyla palliata.","2026-05-28T10:42:39.128256Z"
"55041-wikipedia",55041,533,"7","2026-05-28T10:42:46.410645Z",423,5.042,"contextual_auxiliary","For businesses who had made more than $1 billion, their turnover must have dropped by 50%.Businesses pay the Jobseeker money to their staff, instead of their usual wages.","2026-05-28T10:42:46.410645Z"
"33904",19339,534,"7","2026-05-28T10:42:56.196843Z",424,8.275,"requirement","If once data is entered in this field and then CLR and ENTER keys are used,  the parameter on the DKU area should return in template display.","2026-05-28T10:42:56.196843Z"
"23280",11722,535,"7","2026-05-28T10:43:05.769973Z",425,7.605,"system_related_auxiliary","So, in general case deployment of the ported library should not be a problem.library can be linked statically, the drawback of this approach will be an increased size of the library.to satisfy to a number of requirements.","2026-05-28T10:43:05.769973Z"
"33998",19485,536,"7","2026-05-28T10:43:13.189022Z",426,6.195,"system_related_auxiliary","Routes which have an odd number of points will still send an even number of routepoints but the last one will be redundant and contain no meaningful data.nPts = number of routepoints in the route m = number of messages is roundup (nPts / 2) n = current message number in range[1.m]  For n= [1.m] send MT message  MTCC_DMGx_WRK_BLOCK_COUNT = (m - n) MTCC_DMGx_WRK_BYTE_COUNT = if n <m then 0 else [if nPts is an even number then 62 else 38) MTCC_DMGx_WRK_ROUTE_NO = 0 MTCC_DMGx_WRK_NO_ENTRY_RT = nPts * MTCC_DMGx_WRK_NXT_WP_SELECT = WP_SEL_MUST_NOT MTCC_DMGx_WRK_ROUTE_NAME = ROUTE_NAME  MTCC_DMGx_WRK_SYM_ID_1 = WPT_FLY_OVER MTCC_DMGx_WRK_SYM_SIZE_1 = MIDDLE MTCC_DMGx_WRK_SYM_COLOR_1 = YELLOW MTCC_DMGx_WRK_SYM_NAME_1 = SYM_NAME_1 MTCC_DMGx_WRK_SYM_FIL_1 = NOT_FILLED MTCC_DMGx_WRK_RTE_PNT_LAT_1 calculated from RTE_PNT_1 MTCC_DMGx_WRK_RTE_PNT_LG_1 calculated from RTE_PNT_1 MTCC_DMGx_WRK_MOCA_LEG1 = -9999  MTCC_DMGx_WRK_SYM_ID_2 = WPT_FLY_OVER MTCC_DMGx_WRK_SYM_SIZE_2 = MIDDLE MTCC_DMGx_WRK_SYM_COLOR_2 = YELLOW MTCC_DMGx_WRK_SYM_NAME_2 = SYM_NAME_2 MTCC_DMGx_WRK_SYM_FIL_2 = NOT_FILLED MTCC_DMGx_WRK_RTE_PNT_LAT_2 calculated from RTE_PNT_2 MTCC_DMGx_WRK_RTE_PNT_LG_2 calculated from RTE_PNT_2 MTCC_DMGx_WRK_MOCA_LEG2 = 0     Guidance ROUTE_NAME   SYM_NAME_1   RTE_PNT_1   Direct_to,  DIREC TO  “”    IRSM_OPTIMAL_POS   Trans_down, TRASDOWN   “T.DN”   Descent point of MM  Course_to,  CRSE TO  “”   MM_CT_END_POS  Course_from,  CRSE FR  “”   MM_CF_END_POS  auto_appr AUTOAPPR  MM_AAP_TAAP_NAME MM_AAP_TAAP_POS    mark_on_target n/a   n/a   n/a    pattern  n/a   n/a   n/a   Guidance SYM_NAME_2    RTE_PNT_2   Direct_to,  MM_DT_POINT_ID note 1 MM_DT_POINT_POS     Trans_down, MM_TD_POINT_ID  MM_TD_POINT_POS    Course_to,  MM_CT_POINT_ID note 1 MM_CT_POINT_POS Course_from,  MM_CF_POINT_ID note 1 MM_CF_POINT_POS auto_appr MM_AAP _NAME  MM_AAP_POS     mark_on_target n/a     n/a    pattern  n/a    n/a       Note 1: if guidance is active part of a combined guidance with attached autonomous approach then SYM_NAME_2 = “T.","2026-05-28T10:43:13.189022Z"
"1801",1532,537,"7","2026-05-28T10:43:20.336837Z",427,14.794,"system_related_auxiliary","This should include, but is not limited to the following: coronary disease, sudden death.","2026-05-28T10:43:20.336837Z"
"25013-wikipedia",25013,538,"7","2026-05-28T10:43:25.618704Z",428,3.908,"contextual_auxiliary","Faculty and staff have won many awards for excellence.","2026-05-28T10:43:25.618704Z"
"18836-wikipedia",18836,539,"7","2026-05-28T10:43:35.691781Z",429,8.571,"contextual_auxiliary","Every band lives in its own territory and one band of monkeys will not enter the territory of another band.","2026-05-28T10:43:35.691781Z"
"15479-wikipedia",15479,540,"7","2026-05-28T10:44:04.900156Z",430,41.158,"contextual_auxiliary","Marble city should be established with stable electricity so resolve the current power failure problems.","2026-05-28T10:44:04.900156Z"
"34288",20126,541,"7","2026-05-28T10:44:26.351461Z",431,4.251,"system_related_auxiliary","EWS_ACK_<cmd>_DCM and MTCC_EWS_CMD_<cmd> retain their values  -- through the power glitch, for all commands (this is represented  -- at Statemate level by info-flows EWS_LAST_EWS_CMD_INFO_DIOM and  -- DIOM_LAST_EWS_CMD_INFO_EWS).","2026-05-28T10:44:26.351461Z"
"40483",28215,542,"7","2026-05-28T10:44:31.945339Z",432,4.554,"contextual_auxiliary","However, the data from Augsburg should not be planned by the Munich branch.","2026-05-28T10:44:31.945339Z"
"9346-wikipedia",9346,543,"7","2026-05-28T10:44:38.522329Z",433,5.353,"contextual_auxiliary","It was also recommended that a Candidatus list should be established in the International Journal of Systematic and Evolutionary Microbiology.","2026-05-28T10:44:38.522329Z"
"5424",4905,544,"7","2026-05-28T10:44:48.765104Z",434,8.343,"system_related_auxiliary","separated from the Gaia-X Federation Services.service: the Gaia-X Federation Service Providers, the Gaia-X Authority and operators of the service.consists of a web, application and database tier as well as an identity and access management.components of these is not excluded in principle and may be examined in a later phase of Gaia-X.","2026-05-28T10:44:48.765104Z"
"29783-wikipedia",29783,545,"7","2026-05-28T10:44:55.381685Z",435,4.46,"contextual_auxiliary","With a Foreword by Francine Klagsburn, The Jewish Publication Society, Philadelphia 1995.The Poems of Emma Lazarus,        Vol.","2026-05-28T10:44:55.381685Z"
"79047-wikipedia",79047,546,"7","2026-05-28T10:45:00.419226Z",436,3.901,"contextual_auxiliary","One is in the Book of Common Prayer (1662).The other is in Common Worship (2000).From thence he shall come to judge the quick and the dead.","2026-05-28T10:45:00.419226Z"
"43245",31529,547,"7","2026-05-28T10:45:17.643191Z",437,21.327,"system_related_auxiliary","The standard implemented dunning procedure as for mobile customers has to work accordingly for Internet Access customers if not stated otherwise in the requirements #260-#263.","2026-05-28T10:45:17.643191Z"
"36690",23543,548,"7","2026-05-28T10:45:41.541157Z",438,28.253,"requirement","The menu navigation described in the text will be checked and, if necessary, implemented in later iterations (after iteration 2).","2026-05-28T10:45:41.541157Z"
